date,pop_size,A_cubfem,E_cubfem,F_cubfem,L_cubfem,M_cubfem,N_cubfem,S_cubfem,T_cubfem,A_adultfem,E_adultfem,F_adultfem,L_adultfem,M_adultfem,N_adultfem,S_adultfem,T_adultfem,A_cubmale,E_cubmale,F_cubmale,L_cubmale,M_cubmale,N_cubmale,S_cubmale,T_cubmale,A_philomale,E_philomale,F_philomale,L_philomale,M_philomale,N_philomale,S_philomale,T_philomale,A_dispmale,E_dispmale,F_dispmale,L_dispmale,M_dispmale,N_dispmale,S_dispmale,T_dispmale,A_cubfem_dead,E_cubfem_dead,F_cubfem_dead,L_cubfem_dead,M_cubfem_dead,N_cubfem_dead,S_cubfem_dead,T_cubfem_dead,A_adultfem_dead,E_adultfem_dead,F_adultfem_dead,L_adultfem_dead,M_adultfem_dead,N_adultfem_dead,S_adultfem_dead,T_adultfem_dead,A_cubmale_dead,E_cubmale_dead,F_cubmale_dead,L_cubmale_dead,M_cubmale_dead,N_cubmale_dead,S_cubmale_dead,T_cubmale_dead,A_philomale_dead,E_philomale_dead,F_philomale_dead,L_philomale_dead,M_philomale_dead,N_philomale_dead,S_philomale_dead,T_philomale_dead,A_dispmale_dead,E_dispmale_dead,F_dispmale_dead,L_dispmale_dead,M_dispmale_dead,N_dispmale_dead,S_dispmale_dead,T_dispmale_dead,A_mothers,E_mothers,F_mothers,L_mothers,M_mothers,N_mothers,S_mothers,T_mothers,A_fathers,E_fathers,F_fathers,L_fathers,M_fathers,N_fathers,S_fathers,T_fathers
1996-04-12,178,4,4,3,4,8,1,0,2,13,4,5,12,15,6,5,5,11,3,1,5,8,6,0,2,13,2,4,8,14,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-05-12,188,4,4,3,2,11,0,1,2,13,4,5,14,15,7,5,5,9,3,1,5,9,5,4,2,11,2,4,7,7,1,1,2,6,3,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,1,0
1996-06-12,196,3,4,4,3,11,0,2,2,14,4,5,14,15,7,5,5,10,3,1,5,9,6,5,2,11,2,4,7,7,1,1,2,6,3,2,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,2,0,1,1,0,1,1,0
1996-07-12,200,4,4,4,3,12,0,2,2,14,4,5,15,15,7,5,4,10,3,1,5,10,6,5,3,11,2,4,7,7,1,1,2,6,3,2,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
1996-08-12,207,5,4,4,3,13,0,4,4,14,4,5,15,15,7,5,4,9,2,1,5,11,6,5,3,11,2,4,7,7,1,1,2,6,3,2,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1
1996-09-12,213,5,4,4,3,15,0,4,4,14,4,5,15,15,7,5,4,12,3,1,5,11,6,5,3,11,2,3,7,7,1,1,2,7,3,2,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0
1996-10-12,214,2,4,4,3,16,0,4,5,17,4,5,14,15,7,5,4,11,2,1,6,11,5,5,3,11,2,3,7,7,1,1,2,8,4,2,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
1996-11-12,219,2,4,4,3,18,0,4,5,17,4,5,14,15,7,5,4,11,2,1,7,13,5,5,3,11,2,3,7,7,1,1,2,8,4,2,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,0
1996-12-12,220,2,3,4,5,18,0,5,5,17,4,5,14,14,7,5,4,11,2,1,7,13,4,5,3,11,2,3,7,7,1,1,2,8,4,2,4,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0
1997-01-12,223,3,3,5,7,18,0,5,4,17,4,5,13,14,7,4,5,11,2,1,8,13,3,5,3,11,2,3,7,7,1,1,2,8,4,2,4,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,1,2,0,0,0,0
1997-02-12,230,4,3,5,7,18,2,5,5,17,4,6,13,13,7,4,5,12,2,2,8,13,3,5,4,11,2,3,7,7,1,1,2,7,5,2,4,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,2,1,0,1,0,0,2,0,1
1997-03-12,228,4,3,5,7,17,2,6,5,17,4,6,10,14,7,4,5,12,2,2,8,11,3,5,3,10,2,3,7,7,1,1,2,9,5,3,5,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1997-04-12,234,6,3,5,7,17,4,6,5,17,4,6,10,14,7,4,5,12,3,2,7,11,3,6,3,10,2,3,8,7,1,1,2,9,5,3,5,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0
1997-05-12,234,6,3,5,7,16,4,6,4,17,4,5,10,15,7,4,6,12,3,2,8,12,3,6,3,10,2,3,8,7,1,1,2,9,4,3,5,6,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
1997-06-12,237,7,4,5,7,16,5,6,4,17,4,5,10,15,7,4,6,12,4,2,7,12,3,6,3,10,2,3,8,7,1,1,2,9,4,3,5,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1997-07-12,238,7,3,6,6,16,5,6,5,17,5,5,11,15,7,4,6,13,3,4,6,10,3,6,3,10,2,3,8,6,1,1,2,9,4,3,5,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1
1997-08-12,241,8,3,6,6,16,5,6,5,17,5,5,11,15,7,4,6,14,3,4,6,11,2,6,3,10,2,3,8,6,2,1,2,9,4,3,5,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1997-09-12,244,9,3,6,5,16,6,7,5,17,5,5,11,15,7,4,6,15,3,4,4,11,3,6,3,9,2,3,9,6,2,1,2,10,4,3,5,6,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0
1997-10-12,243,9,3,6,4,16,6,7,5,17,5,4,11,16,7,4,6,14,3,4,4,10,3,6,2,9,2,3,9,6,2,1,2,12,4,3,6,6,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1997-11-12,250,10,2,6,4,15,6,7,5,17,6,4,11,18,7,4,6,14,3,4,4,11,6,6,2,10,2,3,9,7,2,1,2,11,4,3,6,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,1,2,0,0
1997-12-12,262,10,4,7,5,14,6,8,6,17,6,4,11,20,7,4,6,13,4,4,5,12,7,6,3,10,2,3,9,7,2,1,2,11,4,3,6,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,0,2,1,1,2,1,1,1
1998-01-12,264,9,4,7,5,16,6,8,6,17,6,4,10,20,7,4,6,14,3,4,5,11,7,6,3,10,2,3,9,7,2,1,2,11,4,3,6,7,3,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1998-02-12,264,8,3,6,5,16,6,8,7,17,7,5,10,20,7,4,6,13,3,4,5,11,7,6,3,10,2,3,9,7,2,1,2,11,4,3,6,8,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1998-03-12,265,8,3,5,6,15,6,8,8,17,7,6,10,19,7,4,6,15,3,4,4,10,7,6,4,8,2,3,9,7,2,1,2,11,4,4,6,9,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
1998-04-12,267,9,3,5,6,15,6,8,8,17,7,6,10,19,7,4,6,16,3,4,4,10,7,6,4,8,2,3,9,7,2,1,2,11,4,4,6,9,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1998-05-12,269,9,3,5,6,14,6,7,8,17,7,6,10,22,7,5,6,16,3,4,5,10,6,2,3,8,2,3,9,7,2,1,2,11,4,6,7,8,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,2,0,0,0
1998-06-12,275,9,3,4,6,15,8,8,8,17,7,7,11,22,7,6,6,14,3,3,5,11,4,1,3,9,2,3,9,7,2,1,2,11,4,6,8,10,5,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0
1998-07-12,273,8,3,5,6,13,8,8,7,18,7,7,9,23,7,6,5,14,3,4,6,10,4,1,2,9,2,3,9,8,2,1,1,11,4,6,8,11,5,4,5,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0
1998-08-12,279,7,3,5,6,13,9,7,5,19,7,7,9,23,7,8,7,14,3,6,6,9,6,1,2,9,2,3,9,8,2,1,1,11,4,6,8,11,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,2,1,0
1998-09-12,283,8,3,5,6,13,9,7,5,19,7,7,9,25,7,8,7,12,3,6,6,9,6,1,3,9,2,3,8,8,2,1,1,11,4,6,9,12,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
1998-10-12,286,11,3,5,6,11,9,7,4,18,7,7,9,26,7,8,8,14,4,6,4,9,6,1,3,9,2,3,8,8,2,1,1,11,4,7,9,12,6,4,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
1998-11-12,285,11,3,4,6,9,9,7,4,18,7,7,9,27,7,8,8,14,5,6,4,9,6,1,3,9,2,2,6,8,2,1,1,11,4,8,9,13,6,5,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
1998-12-12,290,11,3,5,5,10,10,6,4,18,7,7,10,26,6,9,8,14,5,7,4,10,6,2,4,9,2,2,6,8,2,1,1,11,4,8,9,13,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,2,0,1,1,1,1
1999-01-12,294,12,3,4,4,10,10,7,4,19,7,8,11,26,6,9,8,14,5,7,2,11,6,3,4,9,2,2,6,8,2,1,1,11,4,7,9,14,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,2,0,0,0,1,0,1,0
1999-02-12,298,11,3,4,5,11,8,7,3,20,7,8,10,26,8,9,9,16,4,5,2,11,6,3,6,9,2,2,6,8,2,1,1,11,5,7,10,14,6,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
1999-03-12,301,12,3,4,6,13,8,6,3,20,7,8,10,24,8,10,9,16,4,5,3,12,7,3,6,9,2,2,6,8,2,1,1,11,5,7,9,13,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,1,0,0,1,0,0,1,3,1,0,0
